[
    (2, 27, 0.941),
    (2, 20, 0.838),
    (2, 26, 0.127),
    (27, 24, 0.401),
    (27, 3, 0.051),
    (24, 10, 0.321),
    (24, 9, 0.68),
    (18, 20, 0.078),
    (18, 4, 0.064),
    (18, 15, 0.057),
    (20, 6, 0.611),
    (7, 26, 0.764),
    (7, 29, 0.754),
    (7, 11, 0.63),
    (26, 14, 0.111),
    (29, 17, 0.643),
    (29, 23, 0.594),
    (12, 19, 0.165),
    (12, 10, 0.049),
    (12, 21, 0.486),
    (19, 23, 0.945),
    (19, 17, 0.167),
    (4, 21, 0.712),
    (4, 8, 0.142),
    (21, 16, 0.287),
    (3, 25, 0.113),
    (3, 0, 0.724),
    (25, 6, 0.643),
    (25, 1, 0.171),
    (5, 16, 0.773),
    (5, 8, 0.753),
    (5, 14, 0.811),
    (16, 10, 0.584),
    (14, 22, 0.951),
    (22, 9, 0.228),
    (22, 6, 0.369),
    (11, 17, 0.622),
    (11, 13, 0.868),
    (13, 23, 0.481),
    (13, 28, 0.626),
    (8, 1, 0.742),
    (0, 1, 0.888),
    (0, 15, 0.84),
    (9, 28, 0.608),
    (28, 15, 0.141),
]

